Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-10 20:00:00+00:00,11.7,48.1,43.6,21.2,101.6,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 05:00:00+00:00,-122.5,49.0,54.2,20.2,101.3,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 21:40:00+00:00,0.5,51.3,47.3,22.3,104.8,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11 02:45:00+00:00,-81.4,44.5,53.6,21.6,108.0,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 06:30:00+00:00,-90.7,47.0,56.3,0.5,114.6,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-10 20:23:00+00:00,1.1,51.4,47.4,21.0,97.1,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",SAR arc
2024-05-11 02:00:00+00:00,-104.3,41.5,50.0,18.8,89.5,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 05:00:00+00:00,-91.3,47.3,56.5,22.9,113.3,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:50:00+00:00,29.1,63.5,60.7,1.3,97.9,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 03:20:00+00:00,-98.0,47.7,56.6,20.6,102.0,"red,green","red,green,purple/pink/magenta",
2024-05-11 03:10:00+00:00,-81.5,41.1,50.3,22.0,113.4,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 02:06:00+00:00,-86.1,41.7,51.2,20.6,102.5,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 05:30:00+00:00,-123.6,47.8,52.8,20.6,105.0,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 02:00:00+00:00,-83.4,41.6,51.0,20.7,103.2,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11 05:30:00+00:00,-111.0,41.5,48.9,21.7,115.3,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 01:23:00+00:00,-82.4,40.0,49.4,20.2,99.0,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 07:00:00+00:00,-123.1,49.3,54.4,22.1,111.0,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:51:00+00:00,-5.1,55.9,53.1,23.2,104.0,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.1,52.5,48.8,21.4,99.3,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 04:30:00+00:00,-88.4,43.8,53.3,22.7,115.5,green,"red,green,purple/pink/magenta",
2024-05-10 20:18:00+00:00,30.2,55.2,52.0,22.7,104.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 23:30:00+00:00,-70.6,-33.4,-23.0,18.9,110.2,purple/pink/magenta,purple/pink/magenta,
2024-05-11 05:30:00+00:00,-113.5,53.5,60.2,21.3,103.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:21:00+00:00,5.4,53.1,49.5,23.2,107.2,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-11 05:03:00+00:00,-116.4,50.8,57.1,20.7,102.8,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.0,52.1,48.3,21.4,99.6,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:30:00+00:00,11.0,45.7,40.6,23.6,115.7,"red,blue,purple/pink/magenta","green,purple/pink/magenta",STEVE
2024-05-10 21:35:00+00:00,23.8,61.4,58.5,23.7,100.1,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 01:47:00+00:00,-83.9,42.4,51.7,20.5,100.5,"red,green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 23:02:00+00:00,2.0,47.8,43.1,23.6,113.4,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:29:00+00:00,4.3,43.8,38.0,23.2,116.2,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-11 06:20:00+00:00,-116.4,34.1,40.9,22.2,124.3,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-11 02:10:00+00:00,-83.4,44.2,53.5,20.9,102.8,"red,green",,
2024-05-11 02:00:00+00:00,-83.7,44.0,53.3,20.7,101.5,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:17:00+00:00,6.1,52.2,48.4,21.2,98.2,purple/pink/magenta,"green,purple/pink/magenta",
